,ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month,cluster
6,7,500000,1,1,2,29,0,0,0,0,0,0,367965,412023,445007,542653,483003,473944,55000,40000,38000,20239,13750,13770,0,3.0
40,41,360000,1,1,2,33,0,0,0,0,0,0,218668,221296,206895,628699,195969,179224,10000,7000,6000,188840,28000,4000,0,3.0
59,60,400000,2,2,1,29,0,0,0,0,0,0,400134,398857,404205,360199,356656,364089,17000,15029,30000,12000,12000,23000,0,3.0
102,103,480000,1,1,1,63,0,0,0,2,2,0,422069,431342,479432,487066,471145,469961,16078,55693,17000,0,18000,24200,0,3.0
123,124,310000,2,2,1,35,2,0,0,0,0,0,304991,311243,306314,258610,246491,198889,13019,11128,8407,8599,6833,5987,1,3.0
132,133,420000,1,2,1,34,0,0,0,0,0,0,253454,247743,229049,220951,210606,188108,9744,9553,7603,7830,7253,11326,0,3.0
133,134,330000,1,3,1,46,0,0,0,0,0,0,227389,228719,229644,227587,227775,228203,8210,8095,8025,8175,8391,8200,0,3.0
204,205,360000,2,2,1,48,0,0,0,0,0,0,226430,231878,234192,190211,173557,146511,9100,7300,5800,5600,5600,4100,0,3.0
214,215,470000,1,2,2,27,2,2,2,2,0,0,296573,303320,307843,479978,305145,309959,13000,11001,0,10484,10838,10367,0,3.0
221,222,330000,2,3,2,45,0,0,0,0,0,0,335196,334954,335527,333860,335760,330121,12388,12378,12116,12450,12213,11678,0,3.0
222,223,300000,2,2,2,35,0,0,0,0,0,0,291619,297268,205629,215827,208464,212508,12019,9006,17000,12000,9557,15000,0,3.0
238,239,240000,2,3,1,50,0,0,0,0,0,0,234205,231669,214642,207642,210375,214694,10116,9150,8008,8000,8009,7714,1,3.0
357,358,380000,1,2,2,34,0,0,0,0,0,0,194314,179206,193992,174675,171253,169121,9010,35000,5000,6000,5000,4400,0,3.0
360,361,500000,2,2,2,23,4,3,2,0,0,0,507726,509229,499936,505507,484612,419643,10000,0,14000,16500,16000,19000,1,3.0
385,386,410000,2,5,1,42,0,0,0,0,0,0,338106,342904,344464,240865,234939,240176,15000,14000,9000,8500,9000,8300,0,3.0
407,408,500000,1,1,1,37,1,2,0,0,0,0,507062,491956,430637,376657,356636,303510,325,15296,12137,12312,14113,10526,0,3.0
424,425,490000,2,2,1,30,0,0,0,0,0,0,192586,197967,201666,205798,196698,190306,10000,7143,7306,6303,6429,6000,0,3.0
431,432,390000,2,1,2,27,0,0,0,0,0,0,304867,299998,300426,292869,292885,281826,13007,10612,10041,11000,10512,7000,1,3.0
433,434,580000,2,1,1,36,0,0,0,0,0,0,159760,162189,166127,169365,168755,167964,6422,6565,5951,6006,5894,5946,0,3.0
435,436,270000,2,2,1,32,1,2,2,2,2,2,234752,233036,229286,217644,223690,221413,10000,8000,0,16000,8000,0,1,3.0
444,445,240000,1,1,2,44,0,0,0,0,0,0,246135,231443,234557,200643,194410,198857,12026,9010,7400,8000,8000,7000,1,3.0
451,452,600000,1,1,1,53,2,2,0,0,0,0,467150,458862,469703,447130,440982,434715,0,18000,16000,16000,21000,20000,1,3.0
470,471,390000,2,3,2,35,0,0,0,0,0,0,355215,363325,373181,252195,257496,263018,13802,16525,8893,9229,10000,9435,1,3.0
471,472,400000,2,2,2,41,0,0,0,0,0,0,366193,372700,375948,195991,152127,155182,14020,13595,6243,6007,6061,6012,0,3.0
502,503,230000,2,6,2,46,0,0,0,0,0,0,221590,227397,230302,186635,189896,193351,10000,9000,8000,8000,7500,7000,0,3.0
527,528,620000,2,2,1,45,2,2,0,0,0,0,160837,156839,160440,163781,167159,170894,0,6200,6000,6000,6500,6000,1,3.0
536,537,440000,2,1,2,35,0,0,0,0,0,0,330759,337794,274075,252584,216547,179221,13100,11000,10000,9000,7100,5500,0,3.0
575,576,290000,1,1,1,53,2,0,0,0,0,0,279610,282024,282508,284660,255892,238266,13000,10200,10265,8803,8300,8546,1,3.0
596,597,360000,1,2,2,29,0,0,0,0,0,0,268112,263368,259969,255832,245462,250244,9429,8738,7017,7154,7073,7300,0,3.0
684,685,320000,1,1,1,40,0,0,0,0,0,0,247276,241167,238196,231580,229683,235837,10000,10000,10000,19000,13000,8000,0,3.0
747,748,300000,2,3,1,34,0,0,0,0,0,0,280823,275303,271952,193403,187562,191069,11000,12000,7200,6500,6173,5500,1,3.0
764,765,240000,2,2,1,33,0,0,0,0,0,0,240878,233838,238067,242579,238245,233710,10000,11000,10000,10000,10000,8000,0,3.0
